DATE,UID BOARD,INSPECTOR,ID-COBOX,MAC,BUZZER,LED,BUTTON,FLASH-AVR,RTC,NOR-FLASH,RSSI,PWM 30,PWM 70,PWM 100,DURATION CHECKING
04/03/2024 10:27:23,DTM44,Gilang,056AF,90:38:0C:6A:5F:08,PASS,PASS,PASS,AVR PASS,PASS,PASS,-64 dBm [Good],PASS,PASS,PASS,216.09
04/03/2024 13:42:14,7PNQ9,Gilang,05124,90:38:0C:6A:5F:08,PASS,PASS,PASS,AVR PASS,PASS,PASS,None,PASS,PASS,PASS,317.97
04/03/2024 14:53:19,I3N4G,Gilang,,90:38:0C:6A:5F:08,PASS,PASS,PASS,AVR PASS,PASS,PASS,-53 dBm [Very Good],PASS,PASS,PASS,239.77
